IdRegistro,Fecha,Mes,Hogar,TipoVivienda,ZonaClimatica,DispositivosActivos,ConsumoBase_kWh,ConsumoExtra_kWh,Tarifa,Precio_kWh,CosteDiario,PicoDemanda
28,2024-08-23,8,H020,Chalet,Sur,10.0,7.01,2.78,A,0.2,1.96,No
29,2024-12-10,12,H036,Chalet,Centro,14.0,6.57,3.74,A,0.2,2.06,No
30,2024-02-18,2,H040,Adosado,Centro,10.0,5.05,3.74,C,0.23,2.02,No
31,2024-02-28,2,H005,Adosado,Costa,7.0,5.9,2.68,A,0.2,1.72,No
32,2024-06-18,6,H022,Piso,Costa,5.0,4.55,2.62,B,0.18,,No
33,2024-07-06,7,H058,Estudio,Sur,3.0,2.28,3.12,B,0.18,0.97,No
34,2024-09-27,9,H002,Piso,Centro,7.0,2.55,2.98,B,0.18,1.0,No
35,2024-07-08,7,H025,Chalet,Norte,16.0,8.33,4.1,A,0.2,,No
36,2024-06-23,6,H040,Estudio,Sur,4.0,2.65,5.14,A,0.2,1.56,No
37,2024-02-20,2,H024,Piso,Sur,10.0,3.32,2.23,B,0.18,1.0,No
38,2024-12-29,12,H058,Piso,Centro,7.0,3.43,2.84,B,0.18,1.13,No
39,2024-02-24,2,H005,Chalet,Sur,13.0,7.64,2.21,C,0.23,2.27,No
40,2024-08-31,8,H016,Adosado,Norte,,5.28,3.13,A,0.2,1.68,Sí
41,2024-11-15,11,H053,Piso,Costa,6.0,4.05,6.54,A,0.2,2.12,No
42,2024-05-10,5,H015,Adosado,Centro,12.0,5.82,2.82,B,0.18,1.56,No
43,2024-11-02,11,H051,Piso,Centro,9.0,4.89,2.19,B,0.18,1.27,Sí
44,2024-05-14,5,H013,Adosado,Centro,8.0,4.78,2.32,C,0.23,1.63,No
45,2024-01-21,1,H011,Piso,Centro,7.0,3.98,2.39,A,0.2,1.27,No
46,2024-11-24,11,H016,Chalet,Sur,11.0,8.86,2.08,C,0.23,2.52,No
47,2024-06-15,6,H018,Piso,Norte,7.0,3.37,4.06,A,0.2,1.49,No
48,2024-09-30,9,H025,Piso,Costa,8.0,3.07,3.17,A,0.2,1.25,No
49,2024-03-29,3,H047,Piso,Centro,8.0,4.97,2.34,A,0.2,1.46,No
50,2024-11-11,11,H038,Chalet,Sur,13.0,8.01,6.25,B,0.18,2.57,Sí
51,2024-01-14,1,H040,Adosado,Norte,9.0,5.38,3.01,B,0.18,1.51,No
52,2024-08-29,8,H004,Adosado,Centro,8.0,6.29,2.84,C,0.23,2.1,No
53,2024-09-21,9,H053,Piso,Sur,6.0,4.66,2.77,A,0.2,1.49,No
54,2024-12-11,12,H058,Piso,Centro,9.0,4.29,2.03,B,0.18,1.14,No
55,2024-02-22,2,H048,Adosado,Centro,10.0,6.54,1.79,B,0.18,1.5,Sí
56,2024-12-05,12,H021,Adosado,Sur,9.0,6.85,4.05,A,0.2,2.18,No
57,2024-04-01,4,H011,Chalet,Norte,12.0,7.29,4.08,C,0.23,2.62,Sí
58,2024-09-20,9,H058,Chalet,Centro,12.0,7.76,1.53,B,0.18,1.67,No
59,2024-02-04,2,H052,Piso,Sur,8.0,4.11,2.65,A,0.2,1.35,No
60,2024-07-24,7,H059,Piso,Sur,6.0,2.65,2.6,A,0.2,1.05,No
61,2024-03-21,3,H034,Piso,Centro,8.0,4.6,1.69,B,0.18,1.13,No
62,2024-02-19,2,H030,Chalet,Centro,15.0,6.83,3.28,C,0.23,2.33,Sí
63,2024-12-25,12,H054,Adosado,Norte,10.0,4.87,2.79,B,0.18,1.38,No
64,2024-01-02,1,H004,Adosado,Costa,10.0,4.77,3.19,B,0.18,,No
65,2024-02-23,2,H014,Piso,Costa,7.0,3.3,1.47,A,0.2,0.95,No
66,2024-04-15,4,H011,Chalet,Norte,12.0,7.24,5.09,C,0.23,2.84,No
67,2024-09-16,9,H004,Piso,Norte,5.0,3.56,3.95,A,0.2,1.5,No
68,2024-11-05,11,H026,Chalet,Norte,13.0,6.2,4.65,C,0.23,2.5,Sí
69,2024-07-09,7,H003,Piso,Centro,6.0,4.67,1.62,C,0.23,1.45,No
70,2024-08-05,8,H056,Chalet,Sur,10.0,7.0,2.52,A,0.2,1.9,No
71,2024-02-13,2,H054,Adosado,Centro,9.0,5.13,3.18,A,0.2,1.66,No
72,2024-06-10,6,H057,Adosado,Norte,10.0,4.63,4.68,B,0.18,1.68,No
73,2024-07-20,7,H037,Piso,Centro,5.0,3.56,2.8,C,0.23,1.46,No
74,2024-09-26,9,H038,Piso,Centro,6.0,2.75,1.81,C,0.23,1.05,No
75,2024-12-16,12,H041,Piso,Norte,6.0,3.98,6.0,A,0.2,2.0,No
76,2024-10-30,10,H004,Chalet,Norte,11.0,7.91,4.65,A,0.2,2.51,No
77,2024-09-27,9,H026,Piso,Centro,,3.71,1.61,B,0.18,0.96,No
78,2024-08-02,8,H039,Piso,Sur,7.0,3.85,4.39,B,0.18,1.48,No
79,2024-09-08,9,H045,Estudio,Norte,4.0,2.69,4.02,A,0.2,1.34,No
80,2024-07-08,7,H042,Piso,Norte,8.0,3.05,2.72,A,0.2,1.15,No
81,2024-10-22,10,H044,Chalet,Sur,13.0,6.85,2.78,A,0.2,1.93,Sí
82,2024-07-31,7,H042,Piso,Norte,7.0,4.7,3.82,C,0.23,1.96,Sí
83,2024-07-26,7,H011,Chalet,Norte,12.0,6.93,4.89,B,0.18,2.13,No
84,2024-08-24,8,H011,Piso,Costa,9.0,4.21,1.95,A,0.2,1.23,No
85,2024-12-03,12,H054,Chalet,Centro,11.0,7.93,1.54,A,0.2,1.89,No
86,2024-02-22,2,H038,Chalet,Centro,12.0,7.37,1.75,B,0.18,1.64,Sí
87,2024-10-06,10,H038,Estudio,Costa,6.0,2.23,3.48,C,0.23,1.31,No
88,2024-08-04,8,H020,Piso,Sur,7.0,3.38,3.33,A,0.2,1.34,Sí
89,2024-09-08,9,H026,Chalet,Costa,10.0,8.0,2.48,A,0.2,2.1,No
90,2024-07-06,7,H038,Piso,Centro,7.0,4.15,2.71,C,0.23,1.58,No
91,2024-02-10,2,H012,Piso,Sur,5.0,4.27,4.26,A,0.2,1.71,No
92,2024-06-05,6,H055,Piso,Centro,7.0,4.79,1.57,B,0.18,1.14,No
93,2024-01-15,1,H029,Chalet,Costa,12.0,8.32,1.64,C,0.23,2.29,No
94,2024-10-27,10,H014,Piso,Centro,6.0,5.16,1.89,B,0.18,1.27,No
95,2024-03-05,3,H050,Chalet,Sur,11.0,8.07,4.84,C,0.23,2.97,Sí
96,2024-12-10,12,H059,Piso,Norte,,5.13,3.46,B,0.18,1.55,No
97,2024-11-22,11,H025,Chalet,Norte,12.0,7.83,2.85,B,0.18,1.92,No
98,2024-01-09,1,H055,Piso,Norte,8.0,4.56,3.57,C,0.23,1.87,No
99,2024-12-09,12,H051,Piso,Centro,8.0,4.18,2.3,C,0.23,1.49,No
100,2024-05-08,5,H042,Piso,Costa,6.0,4.4,1.85,A,0.2,1.25,No
101,2024-05-15,5,H042,Piso,Costa,10.0,4.16,1.79,A,0.2,1.19,No
102,2024-03-03,3,H039,Piso,Norte,7.0,4.74,2.55,C,0.23,1.68,No
103,2024-05-18,5,H026,Adosado,Sur,7.0,4.71,,A,0.2,1.88,Sí
104,2024-03-21,3,H010,Adosado,Costa,9.0,4.31,2.69,A,0.2,1.4,Sí
105,2024-06-11,6,H014,Adosado,Sur,10.0,4.71,2.43,A,0.2,1.43,No
106,2024-10-15,10,H005,Chalet,Norte,12.0,7.69,2.87,C,0.23,2.43,No
107,2024-09-17,9,H057,Adosado,Sur,9.0,5.74,3.96,C,0.23,2.23,No
108,2024-08-18,8,H022,Piso,Centro,5.0,4.74,2.45,C,0.23,1.65,No
109,2024-02-10,2,H011,Chalet,Sur,12.0,6.1,,B,0.18,2.18,Sí
110,2024-01-28,1,H029,Piso,Centro,9.0,5.12,3.27,B,0.18,1.51,No
111,2024-05-14,5,H007,Adosado,Sur,8.0,4.72,3.42,B,0.18,1.47,Sí
112,2024-07-19,7,H052,Chalet,Norte,12.0,6.34,2.6,A,0.2,1.79,Sí
113,2024-11-23,11,H018,Adosado,Norte,9.0,5.5,3.37,B,0.18,1.6,No
114,2024-09-24,9,H031,Adosado,Costa,10.0,5.67,3.0,A,0.2,1.73,No
115,2024-02-02,2,H043,Chalet,Sur,12.0,6.31,2.4,A,0.2,1.74,No
116,2024-02-17,2,H020,Chalet,Costa,11.0,7.52,1.58,A,0.2,1.82,No
117,2024-03-02,3,H057,Piso,Sur,8.0,4.81,2.12,A,0.2,1.39,No
118,2024-08-03,8,H035,Chalet,Norte,11.0,7.44,4.12,A,0.2,2.31,No
119,2024-10-19,10,H007,Chalet,Sur,11.0,7.86,2.35,B,0.18,1.84,No
120,2024-04-08,4,H030,Piso,Centro,7.0,4.09,3.15,B,0.18,1.3,No
121,2024-06-20,6,H004,Estudio,Norte,5.0,2.58,2.56,C,0.23,1.18,No
122,2024-12-25,12,H051,Estudio,Costa,6.0,0.89,2.29,C,0.23,0.73,No
123,2024-08-01,8,H030,Piso,Sur,9.0,4.69,3.09,B,0.18,1.4,No
124,2024-02-04,2,H030,Adosado,Norte,12.0,6.13,2.77,B,0.18,1.6,No
125,2024-08-14,8,H030,Piso,Centro,8.0,3.67,1.69,C,0.23,1.23,Sí
126,2024-04-10,4,H053,Chalet,Sur,11.0,6.68,3.37,C,0.23,2.31,No
127,2024-05-10,5,H018,Chalet,Norte,13.0,6.95,3.54,B,0.18,1.89,Sí
128,2024-09-13,9,H043,Adosado,Costa,8.0,5.99,1.63,C,0.23,1.75,No
129,2024-01-05,1,H046,Piso,Sur,5.0,4.38,3.04,C,0.23,1.71,No
130,2024-08-05,8,H010,Adosado,Costa,8.0,5.31,4.68,A,0.2,2.0,No
131,2024-09-11,9,H014,Adosado,Centro,8.0,5.22,,A,0.2,1.49,No
132,2024-12-24,12,H036,Chalet,Centro,,7.08,1.65,A,0.2,1.75,Sí
133,2024-10-09,10,H023,Chalet,Sur,14.0,8.27,2.17,A,0.2,2.09,No
134,2024-07-25,7,H012,Chalet,Centro,13.0,6.8,1.84,A,0.2,1.73,Sí
135,2024-01-15,1,H012,Adosado,Centro,9.0,4.44,6.22,C,0.23,2.45,No
136,2024-12-11,12,H034,Estudio,Centro,6.0,3.73,2.03,C,0.23,1.32,No
137,2024-02-11,2,H026,Piso,Norte,7.0,3.21,3.37,B,0.18,1.18,No
138,2024-06-27,6,H006,Piso,Centro,8.0,4.86,1.81,A,0.2,1.33,No
139,2024-03-03,3,H037,Adosado,Centro,8.0,6.74,2.15,C,0.23,2.04,No
140,2024-12-17,12,H051,Piso,Norte,9.0,4.78,2.95,A,0.2,,Sí
141,2024-08-18,8,H053,Chalet,Norte,12.0,6.78,2.6,A,0.2,1.88,No
142,2024-08-28,8,H015,Piso,Centro,5.0,3.03,3.59,C,0.23,1.52,No
143,2024-02-21,2,H042,Adosado,Centro,10.0,5.69,3.45,A,0.2,1.83,Sí
144,2024-04-05,4,H039,Chalet,Centro,11.0,7.38,5.57,A,0.2,2.59,No
145,2024-08-09,8,H019,Chalet,Centro,11.0,8.01,1.66,B,0.18,1.74,No
146,2024-08-18,8,H040,Adosado,Sur,8.0,5.43,3.37,A,0.2,1.76,No
147,2024-08-24,8,H047,Adosado,Sur,10.0,5.71,2.14,B,0.18,1.41,No
148,2024-05-22,5,H023,Adosado,Norte,7.0,6.26,3.44,A,0.2,1.94,No
149,2024-06-19,6,H036,Piso,Centro,11.0,4.15,4.94,C,0.23,2.09,No
150,2024-01-29,1,H013,Adosado,Centro,10.0,5.52,1.55,A,0.2,1.41,No
151,2024-02-05,2,H031,Piso,Sur,7.0,3.12,6.91,A,0.2,2.01,Sí
152,2024-01-13,1,H037,Piso,Centro,7.0,3.39,3.26,B,0.18,1.2,No
153,2024-06-08,6,H026,Adosado,Norte,,5.35,2.64,B,0.18,1.44,No
154,2024-11-22,11,H043,Chalet,Sur,10.0,6.66,2.15,B,0.18,1.59,Sí
155,2024-07-05,7,H048,Chalet,Sur,11.0,6.69,3.17,A,0.2,1.97,Sí
156,2024-08-30,8,H052,Adosado,Sur,10.0,5.5,2.33,C,0.23,1.8,No
157,2024-03-26,3,H018,Chalet,Centro,12.0,8.39,1.95,A,0.2,2.07,Sí
158,2024-10-10,10,H060,Adosado,Norte,10.0,5.25,2.75,B,0.18,1.44,No
159,2024-03-06,3,H047,Piso,Centro,5.0,4.82,1.69,A,0.2,1.3,No
160,2024-06-18,6,H057,Adosado,Centro,7.0,5.36,5.45,A,0.2,2.16,Sí
161,2024-02-14,2,H033,Piso,Costa,8.0,3.46,1.57,A,0.2,1.01,No
162,2024-03-02,3,H040,Piso,Centro,6.0,4.3,3.01,A,0.2,1.46,Sí
163,2024-05-13,5,H032,Piso,Centro,7.0,5.64,2.12,A,0.2,1.55,No
164,2024-10-10,10,H004,Piso,Sur,7.0,4.25,2.33,C,0.23,1.51,No
165,2024-01-28,1,H041,Adosado,Costa,7.0,5.6,2.17,C,0.23,1.79,No
166,2024-04-17,4,H019,Chalet,Centro,11.0,6.65,1.65,A,0.2,1.66,No
167,2024-02-13,2,H007,Piso,Centro,5.0,3.58,1.83,A,0.2,1.08,No
168,2024-12-05,12,H047,Piso,Centro,6.0,3.18,2.16,C,0.23,,No
169,2024-10-12,10,H035,Piso,Sur,6.0,4.67,2.94,B,0.18,1.37,Sí
170,2024-11-26,11,H026,Piso,Sur,8.0,3.28,3.52,B,0.18,,No
171,2024-05-07,5,H044,Piso,Sur,7.0,3.54,2.65,A,0.2,1.24,No
172,2024-12-13,12,H023,Piso,Sur,6.0,3.1,2.52,C,0.23,1.29,No
173,2024-08-18,8,H034,Adosado,Costa,7.0,4.65,2.65,C,0.23,1.68,No
174,2024-07-08,7,H051,Adosado,Centro,9.0,5.83,2.01,A,0.2,1.57,No
175,2024-08-12,8,H056,Piso,Norte,5.0,4.59,3.1,A,0.2,1.54,Sí
176,2024-10-09,10,H007,Piso,Norte,6.0,3.76,3.07,B,0.18,1.23,No
177,2024-04-30,4,H011,Adosado,Norte,7.0,5.22,4.57,A,0.2,1.96,No
178,2024-04-25,4,H051,Adosado,Norte,13.0,4.87,3.59,B,0.18,1.52,No
179,2024-08-20,8,H008,Piso,Norte,7.0,4.69,2.7,B,0.18,1.33,No
180,2024-09-15,9,H013,Estudio,Norte,8.0,3.69,3.17,B,0.18,1.23,Sí
181,2024-12-24,12,H032,Piso,Norte,9.0,3.76,3.2,A,0.2,1.39,No
182,2024-07-16,7,H041,Chalet,Norte,11.0,6.96,,C,0.23,2.18,No
183,2024-05-16,5,H034,Piso,Norte,11.0,3.28,3.58,B,0.18,1.23,No
184,2024-11-13,11,H018,Estudio,Norte,7.0,1.67,4.03,B,0.18,1.03,No
185,2024-06-13,6,H015,Piso,Centro,5.0,3.34,2.05,B,0.18,0.97,No
186,2024-08-12,8,H055,Chalet,Norte,12.0,7.75,4.39,A,0.2,2.43,Sí
187,2024-11-02,11,H043,Piso,Norte,9.0,3.73,4.2,C,0.23,1.82,No
188,2024-08-21,8,H024,Piso,Norte,6.0,4.16,5.99,A,0.2,,Sí
189,2024-06-20,6,H047,Adosado,Costa,8.0,4.78,2.06,C,0.23,1.57,No
190,2024-05-31,5,H021,Estudio,Centro,4.0,3.56,2.58,B,0.18,1.11,No
191,2024-11-10,11,H018,Estudio,Centro,6.0,2.79,2.0,B,0.18,0.86,No
192,2024-06-08,6,H014,Adosado,Norte,9.0,5.43,4.9,A,0.2,2.07,No
193,2024-04-05,4,H058,Adosado,Centro,7.0,5.59,4.79,A,0.2,2.08,Sí
194,2024-08-20,8,H053,Estudio,Sur,4.0,1.82,3.41,A,0.2,1.05,No
195,2024-06-28,6,H019,Piso,Centro,6.0,4.64,2.3,B,0.18,1.25,Sí
196,2024-04-22,4,H013,Piso,Centro,,4.14,2.11,B,0.18,1.12,No
197,2024-11-13,11,H057,Piso,Centro,5.0,4.42,1.73,C,0.23,1.41,Sí
198,2024-02-21,2,H016,Chalet,Sur,11.0,8.38,2.67,C,0.23,2.54,No
199,2024-09-24,9,H002,Estudio,Costa,3.0,1.93,1.57,C,0.23,0.8,No
200,2024-10-21,10,H057,Chalet,Norte,11.0,6.87,2.55,A,0.2,1.88,No
201,2024-04-22,4,H034,Chalet,Sur,14.0,6.99,3.32,A,0.2,,Sí
202,2024-04-10,4,H049,Adosado,Centro,8.0,5.9,3.24,B,0.18,1.65,Sí
203,2024-04-22,4,H026,Estudio,Costa,6.0,2.0,1.38,A,0.2,0.68,No
204,2024-03-21,3,H054,Chalet,Norte,11.0,8.21,3.61,A,0.2,2.36,No
205,2024-07-05,7,H059,Adosado,Norte,9.0,4.34,2.93,C,0.23,1.67,No
206,2024-04-22,4,H022,Piso,Norte,5.0,4.67,3.95,B,0.18,1.55,Sí
207,2024-01-02,1,H020,Chalet,Norte,14.0,7.33,2.82,B,0.18,1.83,No
208,2024-05-09,5,H029,Piso,Centro,6.0,4.49,1.75,B,0.18,1.12,No
209,2024-08-07,8,H018,Piso,Centro,7.0,3.64,3.62,B,0.18,1.31,Sí
210,2024-02-23,2,H029,Piso,Sur,8.0,4.27,,C,0.23,1.59,No
211,2024-12-08,12,H042,Adosado,Norte,8.0,4.86,4.26,C,0.23,2.1,Sí
212,2024-08-11,8,H044,Chalet,Sur,12.0,8.06,3.48,C,0.23,2.65,Sí
213,2024-08-12,8,H027,Chalet,Centro,12.0,7.9,1.58,A,0.2,1.9,Sí
214,2024-05-05,5,H035,Piso,Costa,7.0,4.48,2.99,C,0.23,1.72,No
215,2024-05-09,5,H029,Estudio,Norte,7.0,3.28,3.6,B,0.18,1.24,No
216,2024-02-22,2,H006,Chalet,Sur,11.0,9.2,3.4,A,0.2,2.52,No
217,2024-06-20,6,H052,Piso,Norte,8.0,3.9,2.89,A,0.2,1.36,No
218,2024-08-05,8,H037,Piso,Norte,9.0,3.7,2.68,A,0.2,1.28,No
219,2024-06-08,6,H059,Estudio,Norte,6.0,2.37,3.43,B,0.18,1.04,No
220,2024-07-16,7,H025,Estudio,Sur,6.0,3.1,4.32,B,0.18,1.34,No
221,2024-09-03,9,H021,Chalet,Centro,12.0,7.93,3.27,A,0.2,2.24,No
222,2024-11-19,11,H058,Chalet,Centro,11.0,8.91,6.74,A,0.2,3.13,No
223,2024-07-21,7,H031,Estudio,Sur,7.0,1.53,2.89,B,0.18,0.8,Sí
224,2024-07-02,7,H059,Adosado,Centro,9.0,5.34,2.66,A,0.2,1.6,No
225,2024-05-02,5,H040,Estudio,Sur,3.0,1.29,2.38,B,0.18,0.66,No
226,2024-09-11,9,H050,Chalet,Sur,11.0,8.49,4.64,B,0.18,2.36,No
227,2024-10-20,10,H016,Estudio,Centro,6.0,2.04,1.99,A,0.2,0.81,No
228,2024-10-06,10,H060,Chalet,Norte,13.0,7.63,6.33,A,0.2,2.79,Sí
229,2024-11-20,11,H014,Chalet,Centro,12.0,8.02,,C,0.23,2.65,No
230,2024-04-07,4,H006,Piso,Centro,10.0,3.77,,C,0.23,,No
231,2024-07-16,7,H011,Chalet,Centro,13.0,8.03,2.73,C,0.23,2.47,No
232,2024-08-27,8,H027,Adosado,Norte,7.0,5.38,3.76,A,0.2,1.83,No
233,2024-05-23,5,H038,Piso,Sur,6.0,5.15,2.08,A,0.2,,No
234,2024-04-06,4,H005,Chalet,Norte,13.0,7.89,,C,0.23,2.92,Sí
235,2024-07-19,7,H015,Piso,Costa,6.0,3.04,2.71,A,0.2,1.15,Sí
236,2024-05-03,5,H038,Estudio,Sur,7.0,2.96,2.75,A,0.2,1.14,No
237,2024-07-05,7,H053,Chalet,Norte,16.0,7.76,,B,0.18,2.09,No
238,2024-11-21,11,H016,Piso,Centro,9.0,4.18,2.81,A,0.2,1.4,No
239,2024-12-14,12,H018,Piso,Centro,7.0,4.39,3.14,A,0.2,1.51,Sí
240,2024-09-15,9,H053,Adosado,Sur,9.0,6.17,5.29,A,0.2,2.29,No
241,2024-05-27,5,H033,Chalet,Sur,13.0,8.44,2.23,C,0.23,2.45,No
242,2024-09-08,9,H035,Piso,Norte,12.0,3.89,2.73,A,0.2,1.32,No
243,2024-12-11,12,H055,Piso,Centro,7.0,4.3,1.76,B,0.18,1.09,No
244,2024-05-26,5,H052,Estudio,Norte,5.0,2.13,3.48,B,0.18,1.01,No
245,2024-05-27,5,H024,Estudio,Centro,3.0,1.49,2.56,B,0.18,0.73,No
246,2024-12-17,12,H035,Piso,Sur,6.0,3.46,,C,0.23,1.44,Sí
247,2024-07-17,7,H007,Piso,Centro,5.0,3.46,2.65,C,0.23,1.41,No
248,2024-11-03,11,H014,Piso,Costa,7.0,4.54,1.28,C,0.23,1.34,No
249,2024-05-07,5,H050,Adosado,Norte,7.0,4.79,5.27,A,0.2,2.01,No
250,2024-02-08,2,H030,Piso,Costa,6.0,3.65,1.46,A,0.2,,Sí
251,2024-12-03,12,H024,Piso,Norte,8.0,4.0,3.62,A,0.2,1.52,No
252,2024-12-25,12,H015,Piso,Costa,9.0,4.29,1.4,C,0.23,1.31,No
253,2024-05-08,5,H013,Estudio,Centro,4.0,2.58,3.33,A,0.2,1.18,No
254,2024-09-23,9,H019,Chalet,Norte,12.0,8.25,3.53,B,0.18,2.12,Sí
255,2024-05-30,5,H029,Chalet,Costa,10.0,7.65,3.5,C,0.23,2.56,No
256,2024-10-24,10,H022,Adosado,Sur,8.0,5.9,2.32,B,0.18,1.48,Sí
257,2024-04-08,4,H002,Chalet,Centro,10.0,7.33,1.67,C,0.23,2.07,No
258,2024-09-19,9,H039,Adosado,Centro,9.0,6.07,3.66,B,0.18,1.75,No
259,2024-09-08,9,H013,Piso,Norte,6.0,3.85,3.51,C,0.23,1.69,Sí
260,2024-05-23,5,H036,Chalet,Centro,12.0,7.28,1.86,A,0.2,1.83,No
261,2024-12-11,12,H038,Adosado,Centro,8.0,4.47,2.31,C,0.23,1.56,No
262,2024-04-21,4,H018,Chalet,Centro,13.0,7.27,2.39,C,0.23,2.22,Sí
263,2024-02-29,2,H051,Piso,Centro,6.0,4.37,4.33,C,0.23,2.0,No
264,2024-01-02,1,H015,Piso,Sur,7.0,4.73,2.34,A,0.2,1.41,No
265,2024-10-30,10,H035,Estudio,Costa,5.0,2.79,3.39,B,0.18,1.11,No
266,2024-09-10,9,H052,Adosado,Costa,9.0,5.81,2.39,C,0.23,1.89,No
267,2024-05-19,5,H017,Chalet,Sur,11.0,7.82,2.93,A,0.2,2.15,Sí
268,2024-02-06,2,H048,Chalet,Norte,10.0,8.38,3.15,C,0.23,2.65,No
269,2024-06-08,6,H013,Piso,Norte,7.0,4.3,4.71,A,0.2,1.8,No
270,2024-01-09,1,H022,Piso,Centro,6.0,3.99,1.8,C,0.23,1.33,No
271,2024-08-20,8,H059,Piso,Costa,10.0,4.43,2.44,A,0.2,1.37,No
272,2024-04-08,4,H054,Piso,Centro,6.0,4.37,2.59,A,0.2,1.39,No
273,2024-05-26,5,H052,Adosado,Norte,10.0,6.04,5.04,B,0.18,1.99,No
274,2024-10-30,10,H040,Piso,Costa,7.0,3.47,2.03,C,0.23,1.27,No
275,2024-07-26,7,H021,Piso,Sur,5.0,4.6,4.7,B,0.18,1.67,No
276,2024-05-10,5,H026,Piso,Norte,7.0,4.42,2.61,A,0.2,1.41,No
277,2024-05-31,5,H046,Piso,Sur,10.0,4.7,,B,0.18,1.47,No
278,2024-02-23,2,H004,Piso,Norte,11.0,4.26,2.69,A,0.2,1.39,No
279,2024-04-29,4,H007,Piso,Centro,7.0,4.63,1.74,A,0.2,,No
280,2024-06-09,6,H010,Piso,Norte,6.0,4.53,3.36,A,0.2,1.58,No
281,2024-04-25,4,H015,Piso,Centro,5.0,4.05,2.31,A,0.2,1.27,No
282,2024-03-15,3,H026,Piso,Centro,6.0,3.38,4.63,C,0.23,1.84,No
283,2024-04-22,4,H016,Chalet,Norte,13.0,6.52,2.82,C,0.23,2.15,No
284,2024-04-13,4,H040,Piso,Norte,5.0,4.75,3.31,A,0.2,1.61,No
285,2024-12-05,12,H034,Piso,Sur,10.0,4.05,3.88,A,0.2,1.59,No
286,2024-09-10,9,H017,Piso,Centro,5.0,3.39,2.3,A,0.2,1.14,Sí
287,2024-08-14,8,H038,Adosado,Norte,9.0,5.42,5.13,C,0.23,2.43,No
288,2024-04-21,4,H016,Piso,Norte,11.0,3.31,4.47,C,0.23,,No
289,2024-04-08,4,H034,Estudio,Norte,5.0,2.49,2.91,A,0.2,,No
290,2024-06-01,6,H059,Piso,Centro,6.0,4.1,1.93,A,0.2,1.21,No
291,2024-12-14,12,H056,Piso,Centro,6.0,4.24,2.34,A,0.2,1.32,No
292,2024-12-31,12,H029,Piso,Costa,5.0,4.49,1.77,B,0.18,1.13,No
293,2024-12-03,12,H053,Piso,Norte,6.0,4.47,4.36,A,0.2,1.77,Sí
294,2024-07-12,7,H018,Chalet,Norte,10.0,7.08,3.27,A,0.2,2.07,No
295,2024-11-05,11,H011,Piso,Sur,6.0,4.6,2.71,B,0.18,1.32,No
