"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"15",-3.67119,40.50116,60,"Entire home/apt",2,3,9,1,1,0.06,1,2,0,0,0,"f",9.8,3.4,13.1,4.0943445622221,2,3,1,5,2
"16",-3.69923,40.42153,96,"Entire home/apt",2,23,9,1,2,0.21,2,4,0,0,0,"f",0.6,5.8,4,4.56434819146784,4,3,3,4,3
"17",-3.69802,40.43761,75,"Entire home/apt",2,184,9,4,2,1.64,3,4,0,0,0,"t",2.4,4,5.6,4.31748811353631,3,1,3,4,5
"18",-3.69388,40.43825,75,"Entire home/apt",2,112,9,4,1,1.03,2,4,5,35,65,"t",2.5,3.9,5.9,4.31748811353631,4,1,3,1,3
"19",-3.71042,40.40958,117,"Entire home/apt",3,76,9,8,2,0.7,1,4,9,34,64,"t",1,7.3,2.4,4.76217393479776,3,3,2,2,3
"20",-3.70162,40.41466,130,"Entire home/apt",4,87,9,1,2,0.89,4,8,30,60,90,"t",0.3,6.6,3.3,4.86753445045558,4,4,2,3,3
"21",-3.70048,40.40639,119,"Entire home/apt",2,25,10,18,1,0.47,1,2,0,0,0,"f",1.2,7.4,2.6,4.77912349311153,3,4,3,6,1
"22",-3.70049,40.41392,69,"Entire home/apt",3,84,9,8,1,0.88,3,4,0,0,0,"t",0.4,6.6,3.3,4.23410650459726,1,3,3,1,2
"23",-3.71101,40.41607,106,"Entire home/apt",3,10,9,2,2,0.09,4,3,29,59,89,"f",0.7,6.7,3,4.66343909411207,2,4,1,4,2
"24",-3.69463,40.42397,98,"Entire home/apt",3,6,8,5,3,0.07,3,8,15,34,34,"f",1.1,5.4,4.4,4.58496747867057,1,2,1,6,6
"25",-3.71098,40.41088,40,"Entire home/apt",2,282,10,2,1,2.57,1,4,8,8,8,"t",0.9,7.2,2.5,3.68887945411394,1,3,1,5,1
"26",-3.69531,40.41476,100,"Entire home/apt",5,99,10,1,2,0.91,2,5,28,58,88,"t",0.7,6.4,3.6,4.60517018598809,2,1,2,3,3
"27",-3.73162,40.37935,94,"Entire home/apt",1,186,9,1,3,1.71,6,9,1,1,26,"t",4.8,11.1,1.4,4.54329478227,3,4,1,1,4
"28",-3.70741,40.41538,105.71,"Entire home/apt",3,206,9,9,2,1.92,6,8,30,53,83,"t",0.4,6.6,3.1,4.66069949578057,1,2,3,6,5
"29",-3.70092,40.40881,34,"Entire home/apt",2,487,9,3,1,4.48,0,3,5,5,5,"t",0.9,7.2,2.8,3.52636052461616,3,3,2,6,3
"30",-3.70767,40.41428,147,"Entire home/apt",2,146,9,9,3,1.41,9,12,0,0,0,"f",0.5,6.8,3,4.99043258677874,3,1,2,4,6
"31",-3.70114,40.40743,88,"Entire home/apt",7,36,9,1,1,0.35,1,4,27,57,87,"f",1.1,7.3,2.7,4.47733681447821,1,3,1,1,4
"32",-3.62966,40.47189,137,"Entire home/apt",4,135,10,3,4,1.32,4,5,30,60,90,"t",8.8,4.5,12.1,4.91998092582813,4,2,2,5,6
"33",-3.70183,40.42325,68,"Entire home/apt",1,482,9,1,1,4.49,1,2,29,59,89,"f",0.7,5.7,4.1,4.21950770517611,2,2,3,5,1
"34",-3.62881,40.47142,66,"Entire home/apt",2,109,10,3,2,1.1,2,3,30,60,90,"t",8.8,4.5,12.1,4.18965474202643,2,1,1,3,3
"35",-3.70284,40.41236,73,"Entire home/apt",2,57,9,1,1,0.54,3,4,0,0,0,"t",0.5,6.8,3,4.29045944114839,4,3,3,3,2
"36",-3.70835,40.42419,64,"Entire home/apt",5,32,9,32,1,0.37,2,4,8,8,8,"t",0.9,5.7,3.9,4.15888308335967,4,1,3,3,1
"37",-3.70992,40.41637,58,"Entire home/apt",3,103,9,1,1,2.12,2,4,29,59,76,"t",0.6,6.6,3.1,4.06044301054642,1,4,1,5,2
"38",-3.7005,40.41391,70.71,"Entire home/apt",3,47,9,8,1,0.53,4,4,0,0,0,"t",0.4,6.6,3.3,4.25858700561615,2,2,1,3,3
"39",-3.70049,40.41392,59,"Entire home/apt",3,72,9,8,1,0.7,2,4,0,0,0,"t",0.4,6.6,3.3,4.07753744390572,4,4,1,6,2
"40",-3.70747,40.41681,83,"Entire home/apt",1,32,10,1,2,0.52,3,6,26,56,86,"t",0.4,6.5,3.2,4.4188406077966,2,2,2,4,5
"41",-3.69419,40.41414,68,"Entire home/apt",3,48,8,7,1,0.84,2,4,26,56,86,"t",0.8,6.5,3.6,4.21950770517611,4,2,1,2,2
"42",-3.69614,40.40779,61,"Entire home/apt",4,107,9,1,2,1.1,4,6,0,0,0,"t",1.2,7.2,3,4.11087386417331,1,2,3,6,3
"43",-3.70785,40.42163,68,"Entire home/apt",3,311,9,1,1,2.96,1,4,0,0,0,"t",0.7,6,3.7,4.21950770517611,4,3,3,2,2
"44",-3.70526,40.42579,172,"Entire home/apt",3,208,9,4,3,2.02,7,7,29,59,77,"f",1,5.5,4.2,5.14749447681345,4,4,1,4,6
"45",-3.70049,40.41392,59,"Entire home/apt",3,62,9,8,1,0.63,0,4,0,0,0,"t",0.4,6.6,3.3,4.07753744390572,1,1,3,4,4
"46",-3.69309,40.39516,108,"Entire home/apt",2,59,10,5,4,1.75,4,6,0,0,0,"f",2.6,8.6,2.7,4.68213122712422,4,3,1,3,6
"47",-3.69552,40.42295,65,"Entire home/apt",5,44,9,1,2,0.43,3,5,0,13,43,"f",1,5.6,4.3,4.17438726989564,4,2,3,1,4
"48",-3.7056,40.42836,64,"Entire home/apt",3,124,10,2,1,1.21,2,4,29,59,89,"f",1.3,5.2,4.5,4.15888308335967,4,3,2,5,1
"49",-3.6956,40.41281,60,"Entire home/apt",3,156,10,1,1,1.53,2,4,0,6,36,"t",0.8,6.7,3.4,4.0943445622221,1,3,2,4,3
"50",-3.69743,40.41321,80,"Entire home/apt",2,2,8,2,2,0.02,3,6,29,59,89,"f",0.6,6.6,3.4,4.38202663467388,3,2,1,4,5
"51",-3.69919,40.40872,79,"Entire home/apt",7,32,10,2,1,0.32,2,3,0,30,60,"f",1,7.2,2.9,4.36944785246702,2,1,3,3,4
"52",-3.69454,40.40522,65,"Entire home/apt",3,30,10,1,1,0.31,1,2,6,36,66,"f",1.5,7.5,3,4.17438726989564,4,1,2,3,1
"53",-3.70049,40.41392,59,"Entire home/apt",3,116,8,8,1,1.14,2,4,0,0,0,"t",0.4,6.6,3.3,4.07753744390572,4,1,1,2,2
"54",-3.70393,40.42371,89,"Entire home/apt",3,4,9,4,1,0.05,0,3,0,0,0,"f",0.8,5.7,4,4.48863636973214,3,4,1,5,2
"55",-3.68945,40.47293,155,"Entire home/apt",2,28,8,2,3,0.3,4,6,0,14,42,"t",6.4,0.6,9.6,5.04342511691925,2,2,1,5,6
"56",-3.66484,40.4302,220,"Entire home/apt",2,42,9,2,3,0.41,4,6,0,7,37,"t",3.6,4.9,6.7,5.39362754635236,1,4,2,3,4
"57",-3.70181,40.42113,225,"Entire home/apt",3,29,8,8,3,0.29,6,8,30,60,90,"f",0.5,5.9,3.9,5.41610040220442,1,3,3,5,6
"58",-3.71018,40.41971,64,"Entire home/apt",2,78,9,1,1,0.77,2,3,0,0,0,"t",0.7,6.3,3.4,4.15888308335967,2,2,2,4,3
"59",-3.69719,40.42156,78,"Entire home/apt",1,100,9,1,1,1.11,1,4,0,0,0,"t",0.7,5.7,4.1,4.35670882668959,4,4,1,5,1
"60",-3.70103,40.41906,240,"Entire home/apt",3,10,10,8,4,0.1,7,10,30,47,77,"f",0.3,6.1,3.7,5.48063892334199,4,2,1,2,5
"61",-3.70389,40.42182,87.86,"Entire home/apt",2,119,10,1,1,1.17,2,3,0,0,0,"f",0.6,5.9,3.8,4.47574463854763,1,2,1,5,1
"62",-3.70437,40.41456,77,"Entire home/apt",3,37,8,50,1,0.41,1,2,16,46,76,"t",0.3,6.6,3.1,4.34380542185368,4,1,3,4,3
"63",-3.71036,40.4268,33,"Entire home/apt",3,228,9,1,1,2.23,2,3,4,4,18,"f",1.3,5.5,4.2,3.49650756146648,1,1,1,6,2
"64",-3.70302,40.41596,92,"Entire home/apt",3,140,9,50,1,1.53,1,4,29,59,89,"t",0.1,6.5,3.3,4.52178857704904,3,2,2,6,2
"65",-3.70454,40.42342,90,"Entire home/apt",3,48,8,50,1,0.71,1,3,27,57,87,"t",0.8,5.7,4,4.49980967033027,1,1,3,1,1
"66",-3.70831,40.42435,95,"Entire home/apt",3,2,9,8,1,0.03,1,4,30,57,83,"f",0.9,5.7,4,4.55387689160054,4,4,3,3,3
"67",-3.70944,40.41043,85,"Entire home/apt",5,11,9,50,2,0.14,3,6,2,2,2,"t",0.9,7.2,2.5,4.44265125649032,1,3,3,5,5
"68",-3.69882,40.41262,56,"Entire home/apt",2,383,9,1,1,3.73,1,3,0,0,0,"t",0.6,6.7,3.2,4.02535169073515,4,2,2,4,4
"69",-3.70245,40.40781,79,"Entire home/apt",2,153,9,1,1,1.49,1,3,0,0,0,"f",1,7.3,2.6,4.36944785246702,2,2,3,5,1
"70",-3.70502,40.42602,54,"Entire home/apt",1,643,9,3,1,6.38,1,2,30,60,87,"t",1,5.4,4.2,3.98898404656427,2,1,3,1,4
"71",-3.69957,40.42638,81,"Entire home/apt",5,2,8,2,1,0.02,2,4,29,46,46,"f",1.1,5.3,4.5,4.39444915467244,4,4,3,6,2
"72",-3.70177,40.4313,200,"Entire home/apt",1,4,10,1,2,0.05,3,4,30,60,90,"f",1.6,4.8,4.9,5.29831736654804,4,4,2,3,4
"73",-3.70851,40.42961,109,"Entire home/apt",3,182,9,2,2,1.82,4,5,29,59,89,"f",1.5,5.2,4.5,4.69134788222914,1,2,3,6,2
"74",-3.70589,40.44798,90,"Entire home/apt",4,24,7,1,2,0.24,4,6,27,57,87,"f",3.5,3.3,6.5,4.49980967033027,3,2,3,5,5
"75",-3.69711,40.42897,30,"Entire home/apt",3,7,10,1,1,0.07,1,4,0,0,0,"f",1.5,4.9,4.8,3.40119738166216,3,3,2,6,3
"76",-3.69764,40.42414,96,"Entire home/apt",2,18,9,1,2,0.18,3,2,28,58,88,"f",1,5.5,4.3,4.56434819146784,3,4,1,5,5
"77",-3.70259,40.42976,49,"Entire home/apt",3,286,9,1,1,2.82,1,2,5,35,65,"f",1.5,5,4.7,3.89182029811063,2,1,2,1,1
"78",-3.70504,40.42524,81,"Entire home/apt",3,22,9,50,1,0.31,1,4,30,60,90,"t",1,5.5,4.1,4.39444915467244,2,3,2,5,1
"79",-3.70282,40.41661,90,"Entire home/apt",3,39,9,50,1,0.53,1,2,29,59,89,"t",0,6.4,3.4,4.49980967033027,1,1,2,4,2
"80",-3.71073,40.40869,115,"Entire home/apt",2,62,10,1,2,0.61,4,6,23,53,83,"t",1.1,7.4,2.3,4.74493212836325,3,3,3,2,2
"81",-3.70481,40.42204,85,"Entire home/apt",3,60,10,1,2,0.59,3,4,0,0,0,"f",0.6,5.9,3.8,4.44265125649032,1,1,2,3,4
"82",-3.695,40.42744,98,"Entire home/apt",2,33,9,1,1,0.33,2,3,28,58,88,"f",1.4,5.1,4.8,4.58496747867057,3,3,2,4,3
"83",-3.70102,40.42142,25,"Entire home/apt",4,267,9,1,1,2.64,2,3,1,14,44,"t",0.6,5.8,3.9,3.2188758248682,3,3,1,2,2
"84",-3.70624,40.41917,85,"Entire home/apt",3,49,9,50,1,0.67,1,2,29,59,89,"t",0.4,6.2,3.5,4.44265125649032,4,2,2,5,1
"85",-3.70164,40.41018,77,"Entire home/apt",1,38,9,1,1,0.38,2,4,17,35,40,"t",0.7,7.1,2.9,4.34380542185368,3,3,1,6,2
"86",-3.7038,40.42408,90,"Entire home/apt",3,40,9,50,1,0.56,1,4,2,2,2,"t",0.8,5.6,4.1,4.49980967033027,3,4,2,1,2
"87",-3.702,40.41588,82,"Entire home/apt",3,20,8,50,1,0.2,1,4,29,59,89,"t",0.1,6.4,3.4,4.40671924726425,4,4,2,2,1
"88",-3.70222,40.41644,90,"Entire home/apt",3,144,9,50,1,1.49,1,2,29,59,89,"t",0.1,6.4,3.4,4.49980967033027,2,2,1,1,3
"89",-3.69004,40.42761,89,"Entire home/apt",5,53,9,1,3,0.53,3,6,30,60,90,"f",1.7,5,5,4.48863636973214,2,1,1,2,4
"90",-3.69777,40.40671,83,"Entire home/apt",9,20,8,50,1,0.23,1,4,0,0,14,"t",1.2,7.4,2.8,4.4188406077966,3,2,3,4,2
"91",-3.70133,40.43083,88,"Entire home/apt",3,8,7,50,1,0.11,1,4,1,1,1,"t",1.6,4.8,4.8,4.47733681447821,4,4,2,5,2
"92",-3.69962,40.42896,138,"Entire home/apt",1,340,8,5,1,3.39,2,4,0,0,0,"t",1.4,5,4.7,4.92725368515721,4,2,1,6,2
"93",-3.70949,40.41322,69,"Entire home/apt",2,216,10,1,1,2.22,1,2,23,53,83,"t",0.7,6.9,2.8,4.23410650459726,1,4,1,3,1
"94",-3.70684,40.40659,54,"Entire home/apt",4,205,9,1,1,2.04,2,4,0,0,0,"f",1.2,7.6,2.3,3.98898404656427,4,4,3,2,3
"95",-3.68338,40.40808,60,"Entire home/apt",1,208,9,4,1,2.13,2,3,2,12,42,"t",1.9,7.1,4,4.0943445622221,4,2,3,6,2
"96",-3.70186,40.41234,67,"Entire home/apt",4,160,10,1,2,1.71,4,5,0,0,0,"f",0.5,6.8,3,4.20469261939097,1,2,2,1,4
"97",-3.64841,40.44117,68,"Entire home/apt",1,403,10,1,2,7.19,3,4,20,45,47,"f",5.4,4.5,8.5,4.21950770517611,4,3,1,6,2
"98",-3.70524,40.42306,84,"Entire home/apt",3,23,10,5,2,0.23,2,4,0,0,0,"f",0.7,5.8,3.9,4.43081679884331,2,3,3,2,3
"99",-3.71071,40.41327,40,"Entire home/apt",3,129,8,1,1,2.3,2,3,0,0,0,"t",0.7,6.9,2.7,3.68887945411394,4,4,1,4,2
"100",-3.70065,40.41289,85,"Entire home/apt",2,58,9,9,2,0.62,3,5,0,0,0,"f",0.5,6.7,3.2,4.44265125649032,1,3,1,1,2
"101",-3.70255,40.4154,87.43,"Entire home/apt",3,121,9,13,1,1.24,2,4,9,23,53,"f",0.2,6.5,3.3,4.4708384731928,4,2,1,2,3
"102",-3.71092,40.41041,76,"Entire home/apt",2,90,9,2,2,1.23,2,5,0,0,12,"f",1,7.3,2.4,4.33073334028633,3,3,2,6,3
"103",-3.70834,40.41604,37,"Entire home/apt",2,507,10,1,2,5.05,4,5,28,48,78,"t",0.4,6.6,3.1,3.61091791264422,4,3,3,3,3
"104",-3.69329,40.39465,70,"Entire home/apt",3,3,6,1,5,0.05,9,10,0,0,0,"f",2.6,8.6,2.7,4.24849524204936,4,1,1,5,7
"105",-3.70096,40.40954,45,"Entire home/apt",1,248,9,2,1,2.48,1,4,24,54,84,"t",0.8,7.1,2.9,3.80666248977032,4,4,1,3,4
"106",-3.70753,40.43568,100,"Entire home/apt",1,19,8,1,2,0.7,3,5,14,44,74,"t",2.1,4.6,5.2,4.60517018598809,1,2,3,1,3
"107",-3.7128,40.43533,40,"Entire home/apt",1,4,7,1,2,0.05,1,4,0,0,0,"f",2.2,4.8,5,3.68887945411394,2,1,3,1,3
"108",-3.68952,40.42314,95,"Entire home/apt",5,23,9,32,1,0.27,1,2,20,50,77,"t",1.4,5.5,4.6,4.55387689160054,2,1,1,4,3
"109",-3.6994,40.40762,31,"Entire home/apt",2,166,9,1,2,2.2,2,3,15,45,75,"f",1.1,7.3,2.8,3.43398720448515,3,2,1,3,3
"110",-3.57699,40.4739,78,"Entire home/apt",1,397,9,1,2,4.11,6,8,25,55,85,"f",12.5,8.9,15.5,4.35670882668959,3,2,3,5,4
"111",-3.70751,40.42535,153,"Entire home/apt",2,338,10,5,2,3.42,3,5,29,59,89,"f",1,5.6,4.1,5.03043792139244,4,1,1,4,3
"112",-3.69715,40.41361,69,"Entire home/apt",2,259,9,1,3,5.06,3,4,1,1,1,"t",0.6,6.6,3.4,4.23410650459726,1,2,2,2,5
"113",-3.70163,40.41025,102,"Entire home/apt",1,350,9,22,1,3.73,2,3,0,0,0,"t",0.7,7,2.9,4.62497281328427,3,4,1,2,4
"114",-3.70166,40.41169,190,"Entire home/apt",2,5,9,1,2,0.06,3,6,0,0,0,"f",0.6,6.9,3,5.24702407216049,4,3,2,5,2
"115",-3.71011,40.41601,165,"Entire home/apt",4,56,10,1,1,0.77,1,2,23,53,83,"f",0.6,6.6,3,5.10594547390058,2,4,2,3,1
"116",-3.70627,40.41906,67,"Entire home/apt",1,406,9,3,2,4.19,2,6,0,7,37,"f",0.4,6.2,3.5,4.20469261939097,1,1,1,3,4
"117",-3.6952,40.40661,85,"Entire home/apt",3,78,10,1,1,0.89,1,3,28,58,88,"f",1.3,7.3,3,4.44265125649032,3,1,3,6,1
"118",-3.7088,40.42469,37,"Entire home/apt",2,407,8,9,1,4.13,1,2,0,0,0,"f",1,5.7,4,3.61091791264422,4,1,2,4,2
"119",-3.70126,40.41794,70,"Entire home/apt",3,7,10,1,1,0.07,2,4,0,0,0,"f",0.2,6.2,3.6,4.24849524204936,3,4,1,3,4
"120",-3.70411,40.40415,60,"Entire home/apt",2,25,9,1,1,0.29,1,2,0,0,0,"f",1.4,7.8,2.3,4.0943445622221,3,4,2,3,4
"121",-3.70308,40.41653,221,"Entire home/apt",2,75,9,4,4,0.77,4,8,25,49,79,"t",0,6.4,3.4,5.39816270151775,2,3,3,5,4
"122",-3.67553,40.47267,75,"Entire home/apt",3,1,10,1,2,0.01,4,6,0,0,14,"f",6.7,0.6,10,4.31748811353631,4,3,1,2,4
"123",-3.7042,40.40863,65,"Entire home/apt",5,28,9,1,1,0.29,2,2,0,0,0,"f",0.9,7.3,2.6,4.17438726989564,3,3,2,5,4
"124",-3.68147,40.40392,75,"Entire home/apt",3,89,10,1,2,0.95,3,4,24,54,84,"t",2.3,7.6,3.9,4.31748811353631,1,4,1,1,2
"125",-3.7031,40.40567,70,"Entire home/apt",5,23,8,1,1,0.24,2,4,28,58,88,"f",1.2,7.6,2.4,4.24849524204936,3,2,1,6,4
"126",-3.70456,40.4328,227,"Entire home/apt",1,338,9,5,3,3.6,6,8,0,0,0,"t",1.8,4.7,4.9,5.4249500174814,2,1,1,1,4
"128",-3.70979,40.41747,104,"Entire home/apt",3,138,9,1,1,1.62,2,3,12,18,18,"t",0.6,6.5,3.2,4.64439089914137,3,1,1,6,2
"129",-3.70496,40.42385,88.57,"Entire home/apt",2,62,10,1,1,0.65,2,4,0,0,0,"t",0.8,5.7,4,4.48379319982149,1,4,1,1,2
"130",-3.65147,40.46776,95,"Entire home/apt",2,75,9,5,4,1.37,12,12,30,54,84,"f",7.2,2.7,10.5,4.55387689160054,1,1,1,4,6
"131",-3.70683,40.41584,96,"Entire home/apt",2,129,9,9,2,1.36,8,10,16,16,16,"f",0.3,6.6,3.1,4.56434819146784,4,3,2,1,4
"132",-3.69627,40.36121,60,"Entire home/apt",3,173,10,9,3,1.81,4,8,29,59,89,"t",6.2,12.4,4.1,4.0943445622221,4,1,3,3,6
"133",-3.70942,40.41263,75,"Entire home/apt",3,222,9,1,1,2.32,2,4,0,0,0,"f",0.7,7,2.7,4.31748811353631,3,4,3,2,3
"134",-3.69829,40.3556,50,"Entire home/apt",2,162,9,9,3,2.23,3,5,16,46,76,"t",6.8,13,4.5,3.91202300542815,3,1,2,3,3
"135",-3.7055,40.42557,66,"Entire home/apt",2,216,9,1,3,3.61,4,6,26,45,67,"t",1,5.5,4.2,4.18965474202643,2,2,2,2,5
"136",-3.70295,40.42126,145,"Entire home/apt",3,1,10,8,2,0.15,4,5,30,60,90,"f",0.5,5.9,3.8,4.97673374242057,3,4,2,3,3
"137",-3.70461,40.41389,108,"Entire home/apt",2,246,9,6,1,2.56,1,4,0,13,43,"t",0.3,6.7,3,4.68213122712422,4,1,3,2,4
"138",-3.70743,40.41674,47,"Entire home/apt",1,553,10,1,1,5.73,1,4,13,43,73,"t",0.3,6.5,3.2,3.85014760171006,1,2,3,4,2
"139",-3.71225,40.41173,100,"Entire home/apt",3,160,10,1,1,1.66,1,2,28,58,88,"f",0.9,7.2,2.5,4.60517018598809,1,2,3,3,2
"140",-3.6903,40.50171,50,"Entire home/apt",7,28,10,1,1,0.3,2,2,27,40,70,"f",9.5,3.4,12.7,3.91202300542815,1,3,1,6,2
"141",-3.70067,40.42556,75,"Entire home/apt",3,160,9,1,2,1.66,3,6,30,60,90,"f",1,5.4,4.3,4.31748811353631,1,4,2,4,5
"142",-3.70253,40.4107,88,"Entire home/apt",1,31,9,4,1,0.46,2,4,28,58,88,"t",0.7,7,2.9,4.47733681447821,4,2,2,4,2
"143",-3.65271,40.44934,130,"Entire home/apt",2,20,8,1,1,0.23,1,2,29,59,89,"f",5.6,3.6,8.9,4.86753445045558,4,4,3,1,2
"144",-3.70746,40.41611,140,"Entire home/apt",2,159,10,6,2,1.76,5,7,0,0,0,"f",0.4,6.6,3.1,4.9416424226093,2,3,2,5,2
"145",-3.7122,40.41943,79,"Entire home/apt",1,24,9,6,2,0.35,4,6,0,29,59,"f",0.8,6.4,3.3,4.36944785246702,2,3,2,2,3
"146",-3.7079,40.41853,86,"Entire home/apt",2,24,10,6,2,0.3,4,7,11,11,11,"f",0.4,6.3,3.4,4.45434729625351,4,1,1,3,4
"147",-3.70483,40.42809,130,"Entire home/apt",3,64,9,1,2,0.7,1,4,27,57,87,"f",1.3,5.2,4.4,4.86753445045558,3,1,2,3,5
"148",-3.70354,40.40852,48,"Entire home/apt",3,134,9,2,1,1.6,2,3,0,0,0,"f",0.9,7.3,2.6,3.87120101090789,4,3,2,5,3
"149",-3.69523,40.41532,81,"Entire home/apt",3,30,9,2,1,0.36,1,4,1,1,1,"f",0.7,6.4,3.7,4.39444915467244,2,2,3,5,4
"150",-3.70627,40.4218,63,"Entire home/apt",1,262,10,3,1,2.73,1,4,30,60,90,"f",0.6,5.9,3.8,4.14313472639153,2,4,3,3,1
"151",-3.70418,40.42076,75,"Entire home/apt",5,23,9,3,1,0.27,1,2,30,60,90,"f",0.5,6,3.7,4.31748811353631,4,4,1,2,2
"152",-3.71224,40.4262,226,"Entire home/apt",5,59,10,1,4,0.65,6,9,27,57,87,"f",1.3,5.7,4.1,5.42053499927229,1,1,1,2,5
"153",-3.70681,40.41448,59,"Entire home/apt",1,438,10,2,1,4.57,2,4,0,0,0,"t",0.4,6.7,3,4.07753744390572,3,3,3,4,3
"154",-3.70892,40.40756,110,"Entire home/apt",3,114,9,1,2,1.19,3,5,0,0,0,"f",1.1,7.5,2.3,4.70048036579242,2,4,3,1,2
"155",-3.70455,40.4101,51.43,"Entire home/apt",2,209,9,2,1,2.2,1,2,0,0,1,"f",0.7,7.1,2.7,3.94022165978682,1,1,3,2,1
"156",-3.69649,40.41233,135,"Entire home/apt",3,258,10,1,3,2.77,5,8,30,48,78,"t",0.8,6.7,3.3,4.90527477843843,3,1,2,1,5
"157",-3.70686,40.4144,59,"Entire home/apt",3,389,10,2,1,4.12,2,4,0,18,48,"t",0.4,6.7,3,4.07753744390572,4,4,2,1,3
"158",-3.70345,40.42751,64,"Entire home/apt",5,13,9,32,1,0.14,1,4,0,15,34,"t",1.2,5.2,4.4,4.15888308335967,2,1,1,2,2
"159",-3.70902,40.41607,66,"Entire home/apt",2,172,10,6,1,1.81,2,4,29,59,89,"t",0.5,6.6,3.1,4.18965474202643,2,2,1,4,3
"160",-3.70031,40.4225,113,"Entire home/apt",3,58,9,1,2,0.64,5,5,29,59,89,"t",0.7,5.7,4.1,4.72738781871234,4,3,1,2,3
"161",-3.69482,40.45877,145,"Entire home/apt",2,92,10,4,3,0.97,5,8,27,57,87,"t",4.7,1.8,8,4.97673374242057,3,3,1,5,5
"162",-3.70776,40.41399,56,"Entire home/apt",3,417,10,2,1,4.36,2,4,0,21,51,"t",0.5,6.8,2.9,4.02535169073515,4,2,1,3,2
"163",-3.70614,40.41487,119,"Entire home/apt",3,40,9,8,2,0.43,3,4,0,0,0,"t",0.3,6.7,3.1,4.77912349311153,2,1,3,2,4
"164",-3.71559,40.40848,63,"Entire home/apt",3,91,10,1,1,1.11,2,4,30,60,90,"t",1.4,7.6,2.1,4.14313472639153,1,1,1,4,2
"165",-3.69996,40.41214,59,"Entire home/apt",1,353,9,3,1,4.19,1,2,30,60,90,"t",0.6,6.8,3.1,4.07753744390572,1,3,1,3,4
"166",-3.70129,40.4066,76,"Entire home/apt",3,7,9,3,2,0.09,5,6,30,60,90,"f",1.1,7.4,2.6,4.33073334028633,1,2,2,4,3
"167",-3.69872,40.41123,210,"Entire home/apt",2,142,9,9,3,1.51,10,12,0,0,0,"f",0.7,6.9,3.1,5.34710753071747,4,1,3,5,6
"168",-3.70155,40.40997,48,"Entire home/apt",2,211,9,8,1,2.23,1,2,29,59,89,"t",0.8,7.1,2.9,3.87120101090789,1,4,3,3,1
"169",-3.69926,40.40885,66,"Entire home/apt",5,159,10,4,1,2.04,1,2,13,43,73,"f",0.9,7.2,2.9,4.18965474202643,1,1,1,5,2
